No comment  (13 February 2023   12:53:04)
  Wave    Wawenumber        Graph1 Graph2 Graph3 Graph4 Graph5
 367.62851 27201.37  271.14 172.65 302.15 135.29 183.18
 367.89582 27181.61  200.48 108.12 235.30  77.55 137.80
 368.16313 27161.87  196.75 107.97 236.04  93.61 157.67
 368.43043 27142.17  128.71  48.36 161.24  50.45 113.58
 368.69774 27122.49   51.02 -16.72  94.65  -2.76  57.32
 368.96504 27102.84  -25.71 -85.02   6.72 -66.59 -15.93
 369.23235 27083.22  -40.23 -91.25 -15.10 -68.07 -32.83
 369.49966 27063.62  -57.54 -100.00 -42.58 -85.67 -66.12
 369.76696 27044.06 -100.00 -100.00 -100.00 -100.00 -100.00
 370.03427 27024.52 -100.00 -100.00 -100.00 -100.00 -100.00
 370.30158 27005.02 -100.00 -100.00 -100.00 -100.00 -100.00
 370.56888 26985.54  -80.14 -100.00 -81.63 -100.00 -100.00
 370.83619 26966.08  -92.33 -100.00 -78.44 -100.00 -100.00
 371.10350 26946.66 -100.00 -100.00 -100.00 -100.00 -100.00
 371.37080 26927.27 -100.00 -100.00 -90.35 -100.00 -100.00
 371.63811 26907.90 -100.00 -100.00 -41.16 -100.00 -100.00
 371.90541 26888.56 -100.00 -100.00 -65.14 -100.00 -100.00
 372.17272 26869.24 -100.00 -100.00 -100.00 -100.00 -100.00
 372.44003 26849.96 -100.00 -100.00 -100.00 -100.00 -100.00
 372.70733 26830.70 -100.00 -100.00 -69.38 -100.00 -100.00
 372.97464 26811.47 -100.00 -100.00 -85.48 -100.00 -100.00
 373.24195 26792.27 -100.00 -100.00 -100.00 -100.00 -100.00
 373.50925 26773.10 -100.00 -100.00 -100.00 -100.00 -100.00
 373.77656 26753.95 -100.00 -100.00 -100.00 -100.00 -100.00
 374.04387 26734.83 -100.00 -100.00 -100.00 -100.00 -100.00
 374.31117 26715.74 -100.00 -100.00 -100.00 -100.00 -100.00
 374.57848 26696.68 -100.00 -100.00 -79.47 -100.00 -100.00
 374.84578 26677.64   24.28 -100.00  75.51 -100.00 -87.67
 375.11309 26658.63  184.11   6.41 226.56 -21.24  44.63
 375.38040 26639.64  286.97  75.73 322.34  51.93 126.32
 375.64770 26620.69  375.31 126.69 408.14 111.86 184.66
 375.91501 26601.76  374.23 117.34 420.38  99.64 165.31
 376.18232 26582.86  430.74 154.68 491.02 132.64 192.41
 376.44962 26563.98  384.71 106.95 457.47  91.42 140.54
 376.71693 26545.13  296.88  18.51 386.57   5.30  44.69
 376.98424 26526.31  272.99 -14.07 385.75 -34.82  -0.66
 377.25154 26507.51  295.31   6.81 428.27 -23.86  10.29
 377.51885 26488.74  382.63  74.71 532.44  36.07  68.00
 377.78615 26470.00  362.81  49.64 530.84   9.08  35.63
 378.05346 26451.29  418.10  89.52 601.65  45.98  66.86
 378.32077 26432.60  552.31 190.06 766.34 140.73 158.58
 378.58807 26413.93  633.41 228.05 864.38 180.16 189.82
 378.85538 26395.30  698.47 226.54 959.34 166.95 168.67
 379.12269 26376.69  716.86 172.31 1006.74 109.89 107.90
 379.38999 26358.10  869.17 216.17 1185.70 148.16 144.19
 379.65730 26339.54 1062.90 248.27 1417.75 164.75 170.01
 379.92461 26321.01 1254.05 260.52 1630.21 159.46 177.48
 380.19191 26302.51 1467.88 308.14 1882.11 182.29 223.82
 380.45922 26284.03 1669.39 377.66 2110.69 247.46 306.21
 380.72653 26265.57 1909.90 480.85 2382.42 334.92 414.60
 380.99383 26247.14 2025.17 479.71 2538.25 321.00 419.19
 381.26114 26228.74 2045.92 431.21 2606.18 271.03 374.73
